# tsed   radius                radius_lbound         radius_ubound        
  3087   0.25414471701499064   0.20173084553258747   0.3346518235853222   
  3088   0.25475300136531853   0.20229825698951975   0.3351954833981843   
  3089   0.25536082020828577   0.20286531005623054   0.3357387251244526   
  3090   0.25596817354389323   0.20343200473272116   0.3362815487641262   
  3091   0.25657506137213826   0.20399834101899117   0.3368239543172056   
  3092   0.25718148369302263   0.20456431891504012   0.3373659417836916   
  3093   0.25778744050654545   0.20512993842086802   0.33790751116358386  
  3094   0.2583929318127076    0.2056951995364753    0.33844866245688054  
  3095   0.2589979576115091    0.20626010226186198   0.33898939566358477  
  3096   0.2596025179029491    0.2068246465970276    0.33952971078369476  
  3097   0.26020661268702927   0.20738883254197216   0.3400696078172101   
  3098   0.260810241963747     0.20795266009669655   0.34060908676413115  
